N,P,K,temperature,humidity,ph,rainfall,ec,label
41.0,74.0,18.0,28.75751783,61.02701476,6.599147297999999,73.37686831,0.58,blackgram
52.0,65.0,20.0,32.81705216,66.15665137,6.814301033,68.83924882,1.21,blackgram
36.0,55.0,20.0,27.01470397,84.34262707,6.635968697999999,55.296354,0.44,mungbean
24.0,63.0,19.0,19.3479443,55.96805489,4.681576043,194.5921148,1.6,pigeonpeas
35.044221782572016,73.1817743151477,42.28339473569825,28.547101900685195,95.74910624085652,6.489247038795166,20.0,1.2861208730963742,papaya
36.85511025758621,15.100341746564798,45.71776846647571,29.511098096971963,94.00692140730858,5.9375552999354975,191.89556956477887,1.6463546321064737,coconut
44.0,55.0,25.0,29.6321052,65.91359954,7.42160832,71.16331975,0.86,blackgram
102.0,71.0,48.0,28.65456263,79.28693687,5.695267822000001,102.4633775,0.33,banana
36.0,24.0,41.0,24.94467632,94.25702672,7.009180374,103.8799347,1.84,pomegranate
24.0,21.0,42.0,20.82210727,87.22815682,6.999014379,109.4429934,0.57,pomegranate
34.0,48.0,48.0,41.04224355,91.37258067,6.805277038,181.527598,0.12,papaya
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,0.59,rice
8.0,45.0,15.0,28.09568993,60.98353839999999,4.61136408,33.84110759,1.99,mothbeans
11.0,71.0,17.0,19.9191786,21.47324158,5.74644777,82.68554379,1.91,kidneybeans
1.0,6.0,35.0,27.02269204,95.71935435,6.231662767,147.16824590000004,0.51,coconut
105.0,30.0,50.0,25.29954705,81.77527562,6.37620108,57.04147057,0.2,watermelon
50.0,55.0,16.0,28.81460716,65.33538112,7.581442888,62.26242533,1.98,blackgram
47.0,46.0,52.0,23.19451074,91.40301608,6.502289472999999,206.3999208,0.22,papaya
54.762423315466336,67.06231216799527,46.46333072278851,42.32454777857382,93.61747999920283,6.66301753475432,47.65907818614708,1.6582349319163978,papaya
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,1.57,rice
40.0,121.0,199.0,26.18159716,81.03886263,6.315586313,66.05911698,0.85,grapes
113.0,20.0,48.0,27.46583649,94.87679041,6.440584681,27.27899847,1.04,muskmelon
120.0,7.0,47.0,24.24782473,83.03687902,6.653867608,54.76576239999999,1.46,watermelon
65.0,62.0,51.0,31.53243779,90.87394933,6.5116248410000015,207.0735119,0.47,papaya
120.0,20.0,45.0,25.66576039,88.6984228,6.114128685,54.22722466,0.9,watermelon
118.0,88.0,52.0,28.65003945,82.68752542,5.8431631610000005,98.75084366,0.52,banana
34.04012858637296,76.58924307041775,55.56743606190233,19.282848336310003,12.931874904503587,8.385476958256417,98.51139347401607,0.42450516984955305,chickpea
91.0,21.0,26.0,26.33377983,57.36469955,7.261313694,191.6549412,1.84,coffee
80.0,71.0,47.0,27.50527651,80.79783998,6.156373499,105.0776992,1.95,banana
49.073748308618136,66.92658840368817,81.44031506841256,19.359539532828006,15.264603272076101,8.176843543346788,56.95562989283119,1.2059942041743639,chickpea
117.0,81.0,53.0,29.50704598,78.20585613,5.507641777999999,98.12565829,0.77,banana
117.0,19.0,55.0,28.80311922,91.78336933,6.121745389,25.16359891,1.89,muskmelon
37.0,144.0,197.0,11.18994268,80.8084305,6.415555956,66.34234944,0.16,grapes
32.36179750010356,60.45673890668967,93.99806578862069,20.351753090698512,13.412386726142367,6.936663627192787,54.369126429517976,0.3470606730564079,chickpea
56.0,79.0,15.0,29.48439992,63.19915325,7.454532137,71.89090748,1.11,blackgram
22.0,60.0,85.0,18.8392908,14.74071856,7.811997977000001,94.78189594,1.22,chickpea
103.0,40.0,30.0,27.30901814,55.196224,6.3483162570000005,141.48316440000005,0.59,coffee
19.521735599318962,19.554678181011372,14.433000660805432,24.02865533482912,93.19827244745038,7.287235961912854,124.89671952468161,0.416885175652458,orange
108.0,33.0,31.0,23.69287069,66.76090123,7.393825704,144.6576424,1.97,coffee
16.0,139.0,203.0,17.82803682,80.96093443,6.27564088,65.84748763,1.61,grapes
27.0,74.0,20.0,24.69487673,59.96669215,5.8598134160000015,91.95792434,1.3,pigeonpeas
40.0,64.0,47.0,32.50037548,93.47888842,6.893509446,71.73759526,0.72,papaya
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,1.65,rice
39.0,29.0,29.0,26.50908611,94.48414544,6.143662699,199.8778403,1.85,coconut
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,0.27,rice
81.7757828324245,62.94934011919331,63.66408526139191,25.494224376800705,93.34829499888008,6.8713098998171045,57.536733162308956,1.621769705941469,papaya
25.777335513921543,15.783109166457281,40.65602865392376,27.992191118060617,93.17655156788474,6.4795321991663135,161.7373602166642,1.126670269031074,coconut
22.0,78.0,76.0,17.84851658,19.09172907,8.621662982,76.32470713,1.04,chickpea
100.0,18.0,52.0,26.20234499,80.38266489,6.87606733,56.47941847,0.59,watermelon
90.0,16.0,45.0,24.92093261,80.61750795,6.291540277999999,50.55710813,1.2,watermelon
